platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
facebook,2025-07-21,970,970.0,1,673,170,127,970.0
facebook,2025-07-22,8586,780.55,11,5645,1307,1634,4778.0
facebook,2025-07-23,11274,805.29,14,7538,1561,2175,6943.333333333333
facebook,2025-07-24,2975,743.75,4,2027,328,620,5951.25
facebook,2025-07-25,7030,781.11,9,4630,1024,1376,6167.0
facebook,2025-07-26,7940,882.22,9,5383,1049,1508,6462.5
facebook,2025-07-27,3905,781.0,5,2791,396,718,6097.142857142857
facebook,2025-07-28,6697,608.82,11,4138,1066,1493,6915.285714285715
facebook,2025-07-29,4427,737.83,6,3052,432,943,6321.142857142857
facebook,2025-07-30,7251,805.67,9,5117,741,1393,5746.428571428572
facebook,2025-07-31,7830,783.0,10,4801,965,2064,6440.0
facebook,2025-08-01,5177,739.57,7,3064,758,1355,6175.285714285715
facebook,2025-08-02,5634,804.86,7,3740,537,1357,5845.857142857143
facebook,2025-08-03,7893,877.0,9,5857,769,1267,6415.571428571428
facebook,2025-08-04,6966,870.75,8,4735,867,1364,6454.0
facebook,2025-08-05,5288,755.43,7,3674,713,901,6577.0
facebook,2025-08-06,7878,875.33,9,4994,1354,1530,6666.571428571428
facebook,2025-08-07,7842,712.91,11,5241,955,1646,6668.285714285715
facebook,2025-08-08,5822,831.71,7,4148,777,897,6760.428571428572
facebook,2025-08-09,8397,645.92,13,5455,1233,1709,7155.142857142857
facebook,2025-08-10,4683,780.5,6,3486,635,562,6696.571428571428
facebook,2025-08-11,4657,665.29,7,3190,624,843,6366.714285714285
facebook,2025-08-12,5258,876.33,6,3743,782,733,6362.428571428572
facebook,2025-08-13,2576,858.67,3,1673,220,683,5605.0
facebook,2025-08-14,5160,516.0,10,3530,811,819,5221.857142857143
facebook,2025-08-15,10995,687.19,16,7436,1518,2041,5960.857142857143
facebook,2025-08-16,6836,759.56,9,4324,791,1721,5737.857142857143
facebook,2025-08-17,6231,778.88,8,4471,797,963,5959.0
facebook,2025-08-18,10054,837.83,12,6787,1366,1901,6730.0
facebook,2025-08-19,9911,825.92,12,6742,1164,2005,7394.714285714285
facebook,2025-08-20,5719,714.88,8,3485,997,1237,7843.714285714285
facebook,2025-08-21,4548,758.0,6,2708,578,1262,7756.285714285715
instagram,2025-07-21,2005,2005.0,1,1849,85,71,2005.0
instagram,2025-07-22,10146,1268.25,8,7915,1572,659,6075.5
instagram,2025-07-23,7668,1278.0,6,6150,1119,399,6606.333333333333
instagram,2025-07-24,7739,859.89,9,5945,997,797,6889.5
instagram,2025-07-25,9196,1149.5,8,7070,1522,604,7350.8
instagram,2025-07-26,9981,1425.86,7,8495,977,509,7789.166666666667
instagram,2025-07-27,4399,1466.33,3,3625,471,303,7304.857142857143
instagram,2025-07-28,6792,1358.4,5,5865,678,249,7988.714285714285
