platform,level_1,post_id,content,engagement_score,likes,comments,shares
facebook,137,facebook_137_2387,5 tips for becoming a better AI engineer. #DataEngineering #MachineLearning,1442,989,177,276
facebook,84,facebook_84_7559,Latest trends in data for 2024. #MachineLearning #SQL,1378,950,143,285
facebook,14,facebook_14_8116,The future of data analytics is here. #SQL #Python,1324,967,142,215
instagram,856,instagram_856_2825,Latest trends in big data for 2024. #DataScience #SQL #DataEngineering #Python,2325,1909,282,134
instagram,141,instagram_141_2657,The future of big data analytics is here. #DataScience #SQL #DataEngineering,2305,1936,235,134
instagram,60,instagram_60_7829,5 tips for becoming a better data engineer. #DataEngineering #DataScience #SQL,2271,1975,226,70
twitter,749,twitter_749_9424,How data engineering is transforming industries. #Python #DataEngineering,757,500,82,175
twitter,143,twitter_143_7594,Check out this amazing data tutorial! #MachineLearning #SQL,733,492,51,190
twitter,774,twitter_774_3874,5 tips for becoming a better data engineer. #AI #DataScience,729,481,97,151
youtube,114,youtube_114_9644,Latest trends in big data for 2024. #SQL #Python #BigData,5466,4980,475,11
youtube,667,youtube_667_4683,Just launched our new AI product. What do you think? #BigData #DataEngineering,5386,4835,451,100
youtube,519,youtube_519_5432,5 tips for becoming a better data engineering engineer. #AI #DataEngineering,5288,4968,317,3
