platform,date,engagement_score_sum,engagement_score_mean,engagement_score_count,likes_sum,comments_sum,shares_sum,engagement_ma
facebook,2025-07-21,825,825.0,1,463,69,293,825.0
facebook,2025-07-22,8722,872.2,10,6530,1014,1178,4773.5
facebook,2025-07-23,5873,734.12,8,3955,1161,757,5140.0
facebook,2025-07-24,5285,1057.0,5,4154,542,589,5176.25
facebook,2025-07-25,7317,813.0,9,4628,1018,1671,5604.4
facebook,2025-07-26,5216,652.0,8,3251,878,1087,5539.666666666667
facebook,2025-07-27,3852,770.4,5,2496,510,846,5298.571428571428
facebook,2025-07-28,3920,784.0,5,2968,298,654,5740.714285714285
facebook,2025-07-29,3541,590.17,6,2005,485,1051,5000.571428571428
facebook,2025-07-30,4637,772.83,6,2932,525,1180,4824.0
facebook,2025-07-31,6664,833.0,8,4408,797,1459,5021.0
facebook,2025-08-01,3715,619.17,6,2473,552,690,4506.428571428572
facebook,2025-08-02,6835,683.5,10,4502,745,1588,4737.714285714285
facebook,2025-08-03,7481,935.12,8,5620,681,1180,5256.142857142857
facebook,2025-08-04,5655,565.5,10,3538,917,1200,5504.0
facebook,2025-08-05,2712,678.0,4,1649,527,536,5385.571428571428
facebook,2025-08-06,5075,634.38,8,3538,729,808,5448.142857142857
facebook,2025-08-07,6964,870.5,8,5421,671,872,5491.0
facebook,2025-08-08,9856,704.0,14,6696,1123,2037,6368.285714285715
facebook,2025-08-09,4808,534.22,9,2796,902,1110,6078.714285714285
facebook,2025-08-10,4130,516.25,8,2158,743,1229,5600.0
facebook,2025-08-11,2766,553.2,5,1890,318,558,5187.285714285715
facebook,2025-08-12,6928,866.0,8,4806,977,1145,5789.571428571428
facebook,2025-08-13,5730,818.57,7,4377,676,677,5883.142857142857
facebook,2025-08-14,5737,956.17,6,4164,659,914,5707.857142857143
facebook,2025-08-15,5568,696.0,8,3644,508,1416,5095.285714285715
facebook,2025-08-16,7294,663.09,11,4790,1080,1424,5450.428571428572
facebook,2025-08-17,4671,934.2,5,3447,449,775,5527.714285714285
facebook,2025-08-18,5950,661.11,9,3707,746,1497,5982.571428571428
facebook,2025-08-19,5757,719.62,8,3599,796,1362,5815.285714285715
facebook,2025-08-20,4320,720.0,6,2934,571,815,5613.857142857143
